s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
781,66,1,14,-1.315483094890668,13.330434782608696,-0.22231414039886202,115,-1.093168954491806
7479,66,1,21,0.5975625754699925,13.330434782608696,-0.22231414039886202,115,0.8198767158688545
3104,66,1,6,-1.2608246471660778,13.330434782608696,-0.22231414039886202,115,-1.0385105067672158
149,66,1,8,-1.3701415426152583,13.330434782608696,-0.22231414039886202,115,-1.1478274022163963
1552,66,1,12,-1.0421908562677165,13.330434782608696,-0.22231414039886202,115,-0.8198767158688545
2779,66,1,9,-1.9167260198611613,13.330434782608696,-0.22231414039886202,115,-1.6944118794622993
936,66,1,6,-0.49560637902181354,13.330434782608696,-0.22231414039886202,115,-0.2732922386229515
6899,66,1,4,-0.9875324085431262,13.330434782608696,-0.22231414039886202,115,-0.7652182681442642
1365,66,1,9,-0.7688986176447651,13.330434782608696,-0.22231414039886202,115,-0.5465844772459031
589,66,1,7,-1.4247999903398487,13.330434782608696,-0.22231414039886202,115,-1.2024858499409867
3446,66,1,7,-1.5341168857890293,13.330434782608696,-0.22231414039886202,115,-1.3118027453901673
287,66,1,12,0.10563654594867979,13.330434782608696,-0.22231414039886202,115,0.3279506863475418
2735,66,1,13,-1.4794584380644389,13.330434782608696,-0.22231414039886202,115,-1.257144297665577
6579,66,1,14,-0.16765569267427172,13.330434782608696,-0.22231414039886202,115,0.0546584477245903
225,66,1,12,0.10563654594867979,13.330434782608696,-0.22231414039886202,115,0.3279506863475418
3508,66,1,14,0.4882456800208119,13.330434782608696,-0.22231414039886202,115,0.7105598204196739
1965,66,1,8,-0.22231414039886202,13.330434782608696,-0.22231414039886202,115,0
5457,66,1,16,-0.5502648267464039,13.330434782608696,-0.22231414039886202,115,-0.3279506863475419
7123,66,1,15,-0.22231414039886202,13.330434782608696,-0.22231414039886202,115,0
4589,66,1,15,0.7615379186437634,13.330434782608696,-0.22231414039886202,115,0.9838520590426254
6199,66,1,11,-0.16765569267427172,13.330434782608696,-0.22231414039886202,115,0.0546584477245903
3231,66,1,6,-1.5341168857890293,13.330434782608696,-0.22231414039886202,115,-1.3118027453901673
7374,66,1,5,-1.5887753335136194,13.330434782608696,-0.22231414039886202,115,-1.3664611931147574
4997,66,1,26,-1.0421908562677165,13.330434782608696,-0.22231414039886202,115,-0.8198767158688545
7768,66,1,6,-0.7688986176447651,13.330434782608696,-0.22231414039886202,115,-0.5465844772459031
3312,66,1,11,-0.05833879722509112,13.330434782608696,-0.22231414039886202,115,0.1639753431737709
5651,66,1,15,0.9255132618175343,13.330434782608696,-0.22231414039886202,115,1.1478274022163963
3329,66,1,25,1.9093653208601598,13.330434782608696,-0.22231414039886202,115,2.1316794612590217
